d,t,l
2022-01-01,0,8
2022-01-01,1,32
2022-01-01,2,67
2022-01-01,3,107
2022-01-01,4,142
2022-01-01,5,166
2022-01-01,6,173
2022-01-01,7,164
2022-01-01,8,142
2022-01-01,9,116
2022-01-01,10,94
2022-01-01,11,82
2022-01-01,12,85
2022-01-01,13,102
2022-01-01,14,130
2022-01-01,15,159
2022-01-01,16,181
2022-01-01,17,189
2022-01-01,18,178
2022-01-01,19,150
2022-01-01,20,110
2022-01-01,21,64
2022-01-01,22,24
2022-01-01,23,-4
2022-01-02,0,-14
2022-01-02,1,-4
2022-01-02,2,25
2022-01-02,3,67
2022-01-02,4,112
2022-01-02,5,152
2022-01-02,6,176
2022-01-02,7,182
2022-01-02,8,170
2022-01-02,9,144
2022-01-02,10,115
2022-01-02,11,91
2022-01-02,12,80
2022-01-02,13,85
2022-01-02,14,106
2022-01-02,15,137
2022-01-02,16,168
2022-01-02,17,190
2022-01-02,18,195
2022-01-02,19,181
2022-01-02,20,148
2022-01-02,21,102
2022-01-02,22,53
2022-01-02,23,11
2022-01-03,0,-17
2022-01-03,1,-24
2022-01-03,2,-9
2022-01-03,3,26
2022-01-03,4,73
2022-01-03,5,121
2022-01-03,6,161
2022-01-03,7,184
2022-01-03,8,186
2022-01-03,9,169
2022-01-03,10,141
2022-01-03,11,110
2022-01-03,12,86
2022-01-03,13,77
2022-01-03,14,86
2022-01-03,15,111
2022-01-03,16,144
2022-01-03,17,175
2022-01-03,18,196
2022-01-03,19,198
2022-01-03,20,179
2022-01-03,21,142
2022-01-03,22,93
2022-01-03,23,43
2022-01-04,0,2
2022-01-04,1,-23
2022-01-04,2,-26
2022-01-04,3,-6
2022-01-04,4,33
2022-01-04,5,82
2022-01-04,6,130
2022-01-04,7,167
2022-01-04,8,186
2022-01-04,9,184
2022-01-04,10,163
2022-01-04,11,133
2022-01-04,12,102
2022-01-04,13,81
2022-01-04,14,76
2022-01-04,15,88
2022-01-04,16,116
2022-01-04,17,149
2022-01-04,18,180
2022-01-04,19,197
2022-01-04,20,195
2022-01-04,21,173
2022-01-04,22,133
2022-01-04,23,84
2022-01-05,0,36
2022-01-05,1,-2
2022-01-05,2,-21
2022-01-05,3,-19
2022-01-05,4,6
2022-01-05,5,47
2022-01-05,6,95
2022-01-05,7,140
2022-01-05,8,171
2022-01-05,9,184
2022-01-05,10,176
2022-01-05,11,153
2022-01-05,12,122
2022-01-05,13,94
2022-01-05,14,77
2022-01-05,15,76
2022-01-05,16,91
2022-01-05,17,120
2022-01-05,18,153
2022-01-05,19,180
2022-01-05,20,193
2022-01-05,21,187
2022-01-05,22,161
2022-01-05,23,122
2022-01-06,0,75
2022-01-06,1,32
2022-01-06,2,1
2022-01-06,3,-12
2022-01-06,4,-3
2022-01-06,5,24
2022-01-06,6,65
2022-01-06,7,109
2022-01-06,8,147
2022-01-06,9,171
2022-01-06,10,177
2022-01-06,11,165
2022-01-06,12,140
2022-01-06,13,111
2022-01-06,14,87
2022-01-06,15,74
2022-01-06,16,77
2022-01-06,17,95
2022-01-06,18,122
2022-01-06,19,152
2022-01-06,20,174
2022-01-06,21,182
2022-01-06,22,173
2022-01-06,23,147
2022-01-07,0,109
2022-01-07,1,68
2022-01-07,2,33
2022-01-07,3,10
2022-01-07,4,5
2022-01-07,5,18
2022-01-07,6,47
2022-01-07,7,85
2022-01-07,8,123
2022-01-07,9,153
2022-01-07,10,169
2022-01-07,11,168
2022-01-07,12,153
2022-01-07,13,128
2022-01-07,14,102
2022-01-07,15,82
2022-01-07,16,73
2022-01-07,17,78
2022-01-07,18,96
2022-01-07,19,122
2022-01-07,20,146
2022-01-07,21,163
2022-01-07,22,167
2022-01-07,23,155
2022-01-08,0,131
2022-01-08,1,98
2022-01-08,2,65
2022-01-08,3,39
2022-01-08,4,25
2022-01-08,5,27
2022-01-08,6,43
2022-01-08,7,70
2022-01-08,8,103
2022-01-08,9,133
2022-01-08,10,155
2022-01-08,11,163
2022-01-08,12,158
2022-01-08,13,141
2022-01-08,14,118
2022-01-08,15,95
2022-01-08,16,79
2022-01-08,17,73
2022-01-08,18,79
2022-01-08,19,95
2022-01-08,20,116
2022-01-08,21,136
2022-01-08,22,148
2022-01-08,23,149
2022-01-09,0,138
2022-01-09,1,117
2022-01-09,2,92
2022-01-09,3,68
2022-01-09,4,51
2022-01-09,5,44
2022-01-09,6,50
2022-01-09,7,67
2022-01-09,8,91
2022-01-09,9,118
2022-01-09,10,140
2022-01-09,11,154
2022-01-09,12,157
2022-01-09,13,149
2022-01-09,14,132
2022-01-09,15,111
2022-01-09,16,91
2022-01-09,17,77
2022-01-09,18,72
2022-01-09,19,77
2022-01-09,20,90
2022-01-09,21,107
2022-01-09,22,122
2022-01-09,23,131
2022-01-10,0,132
2022-01-10,1,124
2022-01-10,2,110
2022-01-10,3,92
2022-01-10,4,76
2022-01-10,5,66
2022-01-10,6,64
2022-01-10,7,71
2022-01-10,8,86
2022-01-10,9,106
2022-01-10,10,126
2022-01-10,11,143
2022-01-10,12,152
2022-01-10,13,152
2022-01-10,14,142
2022-01-10,15,126
2022-01-10,16,107
2022-01-10,17,88
2022-01-10,18,74
2022-01-10,19,68
2022-01-10,20,71
2022-01-10,21,81
2022-01-10,22,94
2022-01-10,23,108
2022-01-11,0,117
2022-01-11,1,121
2022-01-11,2,118
2022-01-11,3,110
2022-01-11,4,99
2022-01-11,5,89
2022-01-11,6,83
2022-01-11,7,82
2022-01-11,8,88
2022-01-11,9,99
2022-01-11,10,115
2022-01-11,11,130
2022-01-11,12,142
2022-01-11,13,149
2022-01-11,14,148
2022-01-11,15,139
2022-01-11,16,123
2022-01-11,17,104
2022-01-11,18,85
2022-01-11,19,70
2022-01-11,20,62
2022-01-11,21,62
2022-01-11,22,69
2022-01-11,23,81
2022-01-12,0,95
2022-01-12,1,108
2022-01-12,2,116
2022-01-12,3,119
2022-01-12,4,116
2022-01-12,5,110
2022-01-12,6,103
2022-01-12,7,96
2022-01-12,8,94
2022-01-12,9,97
2022-01-12,10,105
2022-01-12,11,117
2022-01-12,12,130
2022-01-12,13,142
2022-01-12,14,148
2022-01-12,15,147
2022-01-12,16,138
2022-01-12,17,121
2022-01-12,18,101
2022-01-12,19,80
2022-01-12,20,62
2022-01-12,21,51
2022-01-12,22,50
2022-01-12,23,57
2022-01-13,0,71
2022-01-13,1,88
2022-01-13,2,106
2022-01-13,3,120
2022-01-13,4,127
2022-01-13,5,127
2022-01-13,6,122
2022-01-13,7,114
2022-01-13,8,105
2022-01-13,9,100
2022-01-13,10,100
2022-01-13,11,106
2022-01-13,12,117
2022-01-13,13,130
2022-01-13,14,143
2022-01-13,15,150
2022-01-13,16,149
2022-01-13,17,138
2022-01-13,18,119
2022-01-13,19,95
2022-01-13,20,71
2022-01-13,21,51
2022-01-13,22,39
2022-01-13,23,38
2022-01-14,0,47
2022-01-14,1,66
2022-01-14,2,89
2022-01-14,3,112
2022-01-14,4,129
2022-01-14,5,139
2022-01-14,6,139
2022-01-14,7,131
2022-01-14,8,119
2022-01-14,9,107
2022-01-14,10,99
2022-01-14,11,98
2022-01-14,12,104
2022-01-14,13,117
2022-01-14,14,133
2022-01-14,15,147
2022-01-14,16,154
2022-01-14,17,152
2022-01-14,18,138
2022-01-14,19,115
2022-01-14,20,86
2022-01-14,21,59
2022-01-14,22,37
2022-01-14,23,26
2022-01-15,0,28
2022-01-15,1,43
2022-01-15,2,68
2022-01-15,3,97
2022-01-15,4,123
2022-01-15,5,142
2022-01-15,6,150
2022-01-15,7,146
2022-01-15,8,134
2022-01-15,9,117
2022-01-15,10,102
2022-01-15,11,94
2022-01-15,12,94
2022-01-15,13,104
2022-01-15,14,121
2022-01-15,15,140
2022-01-15,16,155
2022-01-15,17,161
2022-01-15,18,154
2022-01-15,19,134
2022-01-15,20,106
2022-01-15,21,73
2022-01-15,22,43
2022-01-15,23,22
2022-01-16,0,15
2022-01-16,1,24
2022-01-16,2,46
2022-01-16,3,77
2022-01-16,4,110
2022-01-16,5,138
2022-01-16,6,154
2022-01-16,7,156
2022-01-16,8,147
2022-01-16,9,129
2022-01-16,10,109
2022-01-16,11,94
2022-01-16,12,87
2022-01-16,13,93
2022-01-16,14,108
2022-01-16,15,130
2022-01-16,16,151
2022-01-16,17,165
2022-01-16,18,166
2022-01-16,19,153
2022-01-16,20,126
2022-01-16,21,92
2022-01-16,22,56
2022-01-16,23,27
2022-01-17,0,10
2022-01-17,1,9
2022-01-17,2,26
2022-01-17,3,56
2022-01-17,4,92
2022-01-17,5,126
2022-01-17,6,151
2022-01-17,7,162
2022-01-17,8,157
2022-01-17,9,141
2022-01-17,10,118
2022-01-17,11,97
2022-01-17,12,84
2022-01-17,13,83
2022-01-17,14,95
2022-01-17,15,117
2022-01-17,16,142
2022-01-17,17,163
2022-01-17,18,173
2022-01-17,19,168
2022-01-17,20,147
2022-01-17,21,114
2022-01-17,22,75
2022-01-17,23,38
2022-01-18,0,12
2022-01-18,1,1
2022-01-18,2,10
2022-01-18,3,35
2022-01-18,4,71
2022-01-18,5,110
2022-01-18,6,143
2022-01-18,7,162
2022-01-18,8,164
2022-01-18,9,152
2022-01-18,10,129
2022-01-18,11,104
2022-01-18,12,85
2022-01-18,13,77
2022-01-18,14,83
2022-01-18,15,102
2022-01-18,16,129
2022-01-18,17,156
2022-01-18,18,174
2022-01-18,19,178
2022-01-18,20,165
2022-01-18,21,136
2022-01-18,22,97
2022-01-18,23,55
2022-01-19,0,21
2022-01-19,1,1
2022-01-19,2,-1
2022-01-19,3,17
2022-01-19,4,50
2022-01-19,5,91
2022-01-19,6,129
2022-01-19,7,157
2022-01-19,8,168
